id,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,win_type,player_of_match,umpire1
576,Kolkata,2015-05-24,MI,CSK,CSK,field,normal,0,MI,41,runs,RG Sharma,HDPK Dharmasena
577,Mumbai,2016-04-09,MI,RPS,MI,bat,normal,0,RPS,9,wickets,AM Rahane,HDPK Dharmasena
578,Kolkata,2016-04-10,DD,KKR,KKR,field,normal,0,KKR,9,wickets,AD Russell,S Ravi
579,Chandigarh,2016-04-11,KXIP,GL,GL,field,normal,0,GL,5,wickets,AJ Finch,AK Chaudhary
580,Bangalore,2016-04-12,RCB,SRH,SRH,field,normal,0,RCB,45,runs,AB de Villiers,HDPK Dharmasena
581,Kolkata,2016-04-13,KKR,MI,MI,field,normal,0,MI,6,wickets,RG Sharma,Nitin Menon
582,Rajkot,2016-04-14,RPS,GL,RPS,bat,normal,0,GL,7,wickets,AJ Finch,VA Kulkarni
583,Delhi,2016-04-15,KXIP,DD,DD,field,normal,0,DD,8,wickets,A Mishra,S Ravi
584,Hyderabad,2016-04-16,SRH,KKR,SRH,bat,normal,0,KKR,8,wickets,G Gambhir,AK Chaudhary
585,Mumbai,2016-04-16,MI,GL,GL,field,normal,0,GL,3,wickets,AJ Finch,HDPK Dharmasena
586,Chandigarh,2016-04-17,RPS,KXIP,RPS,bat,normal,0,KXIP,6,wickets,M Vohra,S Ravi
587,Bangalore,2016-04-17,RCB,DD,DD,field,normal,0,DD,7,wickets,Q de Kock,VA Kulkarni
588,Hyderabad,2016-04-18,MI,SRH,SRH,field,normal,0,SRH,7,wickets,DA Warner,HDPK Dharmasena
589,Chandigarh,2016-04-19,KXIP,KKR,KKR,field,normal,0,KKR,6,wickets,RV Uthappa,S Ravi
590,Mumbai,2016-04-20,RCB,MI,MI,field,normal,0,MI,6,wickets,RG Sharma,AK Chaudhary
591,Rajkot,2016-04-21,GL,SRH,SRH,field,normal,0,SRH,10,wickets,B Kumar,K Bharatan
592,Pune,2016-04-22,RCB,RPS,RPS,field,normal,0,RCB,13,runs,AB de Villiers,CB Gaffaney
